"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Lateral Raise (Dumbbell)",,"",1,"normal",7.5,13,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Lateral Raise (Dumbbell)",,"",2,"normal",7.5,12,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Lateral Raise (Dumbbell)",,"",3,"normal",7.5,12,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Cable)",,"",0,"normal",50,12,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Cable)",,"",1,"normal",50,10,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Cable)",,"",2,"normal",50,10,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Triceps Pushdown",,"",0,"normal",20,15,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Triceps Pushdown",,"",1,"normal",25,12,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Triceps Pushdown",,"",2,"normal",25,12,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Romanian Deadlift (Barbell)",,"",0,"normal",105,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Romanian Deadlift (Barbell)",,"",1,"normal",105,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Romanian Deadlift (Barbell)",,"",2,"normal",105,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Romanian Deadlift (Barbell)",,"",3,"normal",105,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Hip Thrust (Barbell)",,"",0,"normal",80,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Hip Thrust (Barbell)",,"",1,"normal",80,6,,,
